prompt_name,win_rate_percent
prompt_01,60.0
prompt_01_repeat_2,90.0
prompt_01_repeat_3,70.0
prompt_02,40.0
prompt_02_repeat_2,30.0
prompt_02_repeat_3,70.0
prompt_03,90.0
prompt_03_repeat_2,100.0
prompt_03_repeat_3,80.0
prompt_04,40.0
prompt_04_repeat_2,70.0
prompt_04_repeat_3,60.0
prompt_05,100.0
prompt_05_repeat_2,80.0
prompt_05_repeat_3,90.0
prompt_06,100.0
prompt_06_repeat_2,80.0
prompt_06_repeat_3,100.0
prompt_07,40.0
prompt_07_repeat_2,90.0
prompt_07_repeat_3,60.0
prompt_08,80.0
prompt_08_repeat_2,80.0
prompt_08_repeat_3,0.0
prompt_09,40.0
prompt_09_repeat_2,70.0
prompt_09_repeat_3,70.0
prompt_10,60.0
prompt_10_repeat_2,20.0
prompt_10_repeat_3,60.0
